Shannon,Fisher,Fisher',GBP,E2,E3,R2,R3,G1,G2,G3,iso,aniso
4.4745,451.0057,451.963,60.9299,81.2174,7000.0021,8.4887,8.8529,1.194,-5.1997,3.4525,253.1521,24.3863
4.1482,451.3672,450.6037,59.9772,81.2093,6999.0514,8.5807,9.0093,1.3083,-5.1986,3.1197,282.5217,37.8074
4.0995,451.6373,450.804,59.8384,81.2305,7004.2781,8.6108,9.0737,1.2645,-5.0507,3.0617,279.8801,29.1491
4.3167,451.4312,451.3078,60.3595,81.2231,7003.4104,8.506,8.8839,1.1301,-5.0689,3.1519,278.5382,40.9681
4.3035,451.4143,451.2333,60.3517,81.225,7003.5764,8.5078,8.8894,1.1034,-5.107,3.2479,277.4568,45.0829
4.351,451.2206,451.4596,60.6313,81.2307,7002.882,8.5166,8.896,1.2158,-5.1562,3.3543,250.4312,29.0696
4.3075,451.5395,451.4517,60.3172,81.2318,7005.3062,8.5114,8.8968,1.0873,-5.0355,3.1861,279.3119,47.3084
4.0881,451.4182,450.6209,59.8837,81.2189,7001.1283,8.5728,8.9983,1.2596,-5.135,3.1343,279.1225,24.9726
4.3216,451.4237,451.2946,60.3794,81.2233,7003.5063,8.5059,8.8828,1.1417,-5.0661,3.1343,277.4327,42.5384
4.1297,451.3066,450.4957,59.9976,81.2127,6999.2724,8.5781,9.0068,1.3267,-5.2222,3.1656,274.9536,31.9653
4.3165,451.3836,451.1858,60.3981,81.2247,7003.4814,8.5102,8.8902,1.1346,-5.1123,3.2207,275.1534,42.2669
4.2814,451.4173,451.2392,60.2988,81.2221,7002.9242,8.5022,8.8793,1.1304,-5.0691,3.1368,280.3681,41.9421
4.413,451.212,451.6695,60.7403,81.2255,7001.8064,8.5105,8.8845,1.2338,-5.1644,3.2863,253.0949,26.7067
4.3157,451.2069,451.1893,60.4601,81.2155,7000.4032,8.531,8.9246,1.2111,-5.2105,3.3095,267.8175,28.6234
4.2955,451.473,451.3012,60.2989,81.2238,7003.7174,8.5114,8.8957,1.1,-5.07,3.1948,281.5345,41.6154
4.3207,451.256,451.2474,60.4673,81.2184,7001.1059,8.5387,8.9365,1.2474,-5.1614,3.2123,267.4439,36.1652
4.3251,451.2518,451.3002,60.4861,81.2189,7001.1901,8.527,8.9155,1.2323,-5.1554,3.2213,265.6287,33.0037
4.3073,451.4807,451.3059,60.3147,81.2235,7003.749,8.5137,8.8988,1.1105,-5.0586,3.1793,281.1168,41.0985
4.1025,451.5321,450.7283,59.8603,81.2225,7002.4304,8.5858,9.0248,1.2602,-5.0869,3.069,281.1378,30.709
4.3287,451.2396,451.2962,60.4889,81.2178,7000.8994,8.5276,8.9169,1.2361,-5.1586,3.2225,266.2119,35.7875
4.385,451.033,451.3353,60.6947,81.2122,6998.6522,8.5098,8.8867,1.2482,-5.2755,3.3783,258.0512,35.5386
4.1068,451.5166,450.7124,59.8684,81.2199,7001.9107,8.5835,9.0199,1.2601,-5.0958,3.0726,282.1652,31.9476
4.3045,451.4846,451.3153,60.3143,81.2246,7003.9322,8.5111,8.8944,1.1049,-5.0693,3.1755,280.5851,42.53
4.0948,451.5234,450.7143,59.8511,81.2225,7002.3611,8.5835,9.0209,1.2576,-5.0861,3.0764,280.7291,30.1765
4.3088,451.4818,451.3126,60.3153,81.2235,7003.7783,8.5144,8.9001,1.1067,-5.0781,3.1816,281.2783,41.2184
4.1095,451.5022,450.7197,59.8742,81.2187,7001.689,8.5822,9.0184,1.2585,-5.1066,3.0736,282.7689,31.8815
4.292,451.4763,451.2871,60.2903,81.2234,7003.693,8.5116,8.8959,1.1027,-5.0638,3.1865,281.824,41.7973
4.0993,451.521,450.7063,59.8561,81.2219,7002.2724,8.5843,9.0221,1.2603,-5.0917,3.0698,281.2623,30.2271
4.2991,451.4576,451.2532,60.3065,81.2227,7003.4835,8.5145,8.9,1.1124,-5.0802,3.1872,281.422,41.1052
4.3174,451.1989,451.2217,60.4655,81.2145,7000.1088,8.5288,8.9217,1.2097,-5.2094,3.3139,269.348,31.589
4.1059,451.5319,450.7364,59.8653,81.2226,7002.4481,8.5867,9.0267,1.2617,-5.0885,3.066,281.0661,30.6041
4.3246,451.2035,451.2143,60.4792,81.2152,7000.3076,8.5296,8.9223,1.2138,-5.2206,3.3063,267.9609,34.5012
